id,name,monitor_size,weight,rom,camera_pixel,has_memory_slot,pic,brand_id
1,Apple iPhone 6s Plus,5.5,192,16,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s-plus.jpg,1
2,Apple iPhone 6s Plus,5.5,192,64,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s-plus.jpg,1
3,Apple iPhone 6s Plus,5.5,192,128,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s-plus.jpg,1
4,Apple iPhone 6s,4.7,143,16,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s1.jpg,1
5,Apple iPhone 6s,4.7,143,64,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s1.jpg,1
6,Apple iPhone 6s,4.7,143,128,1200,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-6s1.jpg,1
7,Apple iPhone 5s,4,112,16,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5s-ofic.jpg,1
8,Apple iPhone 5s,4,112,32,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5s-ofic.jpg,1
9,Apple iPhone 5s,4,112,64,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5s-ofic.jpg,1
10,Apple iPhone 5c,4,132,8,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5c-new2.jpg,1
11,Apple iPhone 5c,4,132,16,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5c-new2.jpg,1
12,Apple iPhone 5c,4,132,32,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-5c-new2.jpg,1
13,Apple iPhone 4s,3.5,140,8,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4s-new.jpg,1
14,Apple iPhone 4s,3.5,140,16,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4s-new.jpg,1
15,Apple iPhone 4s,3.5,140,32,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4s-new.jpg,1
16,Apple iPhone 4s,3.5,140,64,800,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4s-new.jpg,1
17,Apple iPhone 4,3.5,137,8,500,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4-ofic-final.jpg,1
18,Apple iPhone 4,3.5,137,16,500,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4-ofic-final.jpg,1
19,Apple iPhone 4,3.5,137,32,500,0,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-4-ofic-final.jpg,1
20,Sony Xperia Z5 Premium,5.5,180,32,2300,1,http://cdn2.gsmarena.com/vv/bigpic/sony-z5-premium-.jpg,2
21,Sony Xperia Z5 Compact,4.6,138,32,2300,1,http://cdn2.gsmarena.com/vv/bigpic/sony-z5-compact-.jpg,2
22,Sony Xperia M5 Dual,5,142,16,2100,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg,2
23,Sony Xperia C4,5.5,147,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg,2
24,Sony Xperia Z3+,5.2,144,32,2000,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-z4.jpg,2
25,Sony Xperia T3,5.3,148,8,800,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-t3.jpg,2
26,Sony Xperia E1,4,120,4,300,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-e1.jpg,2
27,Sony Xperia Z2,5.2,163,16,2000,1,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-z2-new.jpg,2
28,HTC One X9,5.5,170,32,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-x9-.jpg,3
29,HTC One X9,5.5,170,64,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-x9-.jpg,3
30,HTC One M9s,5,158,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-m9s-.jpg,3
31,HTC One M9s,5,158,32,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-m9s-.jpg,3
32,HTC One ME,5.2,155,32,2000,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-me.jpg,3
33,HTC Desire 620 dual sim,5,160,8,800,1,http://cdn2.gsmarena.com/vv/bigpic/htc-desire-620.jpg,3
34,HTC Butterfly 2,5,151,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-butterfly-2-new.jpg,3
35,HTC Butterfly 2,5,151,32,1300,1,http://cdn2.gsmarena.com/vv/bigpic/htc-butterfly-2-new.jpg,3
36,HTC One (M8),5,160,16,400,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg,3
37,HTC One (M8),5,160,32,400,1,http://cdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg,3
38,HTC Desire L,4.3,118,4,500,1,http://cdn2.gsmarena.com/vv/bigpic/htc-desire-l.jpg,3
39,HTC DROID DNA,5,141,16,800,0,http://cdn2.gsmarena.com/vv/bigpic/htc-droid-dna-new.jpg,3
40,LG K8,5,157,8,800,1,http://cdn2.gsmarena.com/vv/bigpic/lg-k8.jpg,4
41,LG Stylus 2,5.7,145,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/lg-stylus-2.jpg,4
42,LG K4,4.5,120,8,500,1,http://cdn2.gsmarena.com/vv/bigpic/lg-k4-.jpg,4
43,LG G4,5.5,155,32,1600,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g4-.jpg,4
44,LG G Flex2,5.5,152,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g-flex2.jpg,4
45,LG G2 Lite,4.5,153,4,800,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g2-lite-d295.jpg,4
46,LG Spirit,4.7,124,8,800,1,http://cdn2.gsmarena.com/vv/bigpic/lg-spirit1.jpg,4
47,LG G3 Stylus,5.5,163,8,1300,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g3-stylus.jpg,4
48,LG G3,5.5,149,16,1300,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g3-1.jpg,4
49,LG G3 S Dual,5,134,8,800,1,http://cdn2.gsmarena.com/vv/bigpic/lg-g3-s.jpg,4